,ncaa_name,bd_name_x,school_id,division_x,hitting,H9_x,BB9_x,2B-A9_x,3B-A9_x,HR-A9_x,SO9_x,SHA9_x,SFA9_x,GO9_x,FO9_x,RBI9_x,HitValue,bd_name_y,division_y,pitching,H9_y,BB9_y,2B-A9_y,3B-A9_y,HR-A9_y,SO9_y,SHA9_y,SFA9_y,GO9_y,FO9_y,RBI9_y,PitchValue,NetValue,RankDate
265,UT Arlington,Texas-Arlington,702,1,,,,,,,,,,,,,0.0,Texas-Arlington,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
264,Texas Tech,Texas Tech,700,1,,,,,,,,,,,,,0.0,Texas Tech,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
262,Texas Southern,Texas Southern,699,1,,,,,,,,,,,,,0.0,Texas Southern,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
261,TCU,Texas Christian,698,1,,,,,,,,,,,,,0.0,Texas Christian,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
260,A&M-Corpus Christi,Texas A&M-Corpus Christi,26172,1,,,,,,,,,,,,,0.0,Texas A&M-Corpus Christi,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
259,Texas A&M,Texas A&M,697,1,,,,,,,,,,,,,0.0,Texas A&M,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
258,Texas,Texas,703,1,703.0,,,,,,,,,,,,0.0,Texas,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
257,UT Martin,Tennessee-Martin,695,1,,,,,,,,,,,,,0.0,Tennessee-Martin,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
256,Tennessee Tech,Tennessee Tech,692,1,,,,,,,,,,,,,0.0,Tennessee Tech,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
255,Tennessee,Tennessee,694,1,,,,,,,,,,,,,0.0,Tennessee,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
254,Temple,Temple,690,1,,,,,,,,,,,,,0.0,Temple,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
157,Morehead St.,Morehead State,444,1,,,,,,,,,,,,,0.0,Morehead State,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
0,Abilene Christian,Abilene Christian,2,1,,,,,,,,,,,,,0.0,Abilene Christian,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
1,Air Force,Air Force,721,1,,,,,,,,,,,,,0.0,Air Force,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
60,Dayton,Dayton,175,1,,,,,,,,,,,,,0.0,Dayton,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
58,Dartmouth,Dartmouth,172,1,,,,,,,,,,,,,0.0,Dartmouth,1,,,,,,,,,,,,,0.0,0.0,2024-02-12
